sim_id,cell_id,total_time,input_substrate_k,input_mpool,input_cpool,input_maxpoly,output__aflow,output__traction,output__rmc,output__module num,FILE
1000,0,21600,1.66693,6398,119,399.62,119.103,33.3872,12.7056,3.12903,
1000,1,21600,1.66693,6398,119,399.62,119.343,30.8991,3.66666,2.64516,
1000,2,21600,1.66693,6398,119,399.62,119.13,35.7745,7.77022,2.67742,
1000,3,21600,1.66693,6398,119,399.62,119.457,29.7447,5.59391,2.51613,
1000,4,21600.2,1.66693,6398,119,399.62,119.031,39.5753,6.05948,3.25806,
1000,5,21600.1,1.66693,6398,119,399.62,119.166,39.4221,14.2536,3.58065,
1000,6,21600,1.66693,6398,119,399.62,119.12,39.7083,13.2072,2.64516,
1000,7,21600.2,1.66693,6398,119,399.62,119.348,33.1089,4.29588,3.06452,
1000,8,21600.1,1.66693,6398,119,399.62,119.039,41.4478,3.12288,2.87097,
1000,9,21600,1.66693,6398,119,399.62,119.229,33.3133,3.11787,3.06452,
100,0,21600,0.488717,5964,78,163.135,119.202,64.6889,0.100226,12.8387,
1001,0,21600.1,54.3301,160,119,229.176,78.7249,36.2305,1.54083,2.77419,
1001,1,21600,54.3301,160,119,229.176,81.0411,42.3626,1.26562,2.83871,
1001,2,21600.1,54.3301,160,119,229.176,80.599,46.4014,7.11436,3.54839,
1001,3,21600.1,54.3301,160,119,229.176,74.2743,55.3227,1.28674,3.90323,
1001,4,21600,54.3301,160,119,229.176,88.1384,41.5297,2.22022,3.16129,
1001,5,21600,54.3301,160,119,229.176,73.2809,43.1335,1.6044,2.70968,
1001,6,21600,54.3301,160,119,229.176,85.4679,54.1035,1.96737,5.09677,
1001,7,21600.1,54.3301,160,119,229.176,83.4803,37.9036,0.478715,2.93548,
1001,8,21600,54.3301,160,119,229.176,74.8464,54.7191,0.973395,3.48387,
1001,9,21600.1,54.3301,160,119,229.176,91.3745,37.9811,0.218464,2.83871,
100,1,21600,0.488717,5964,78,163.135,119.197,58.556,0.269824,11.7742,
1002,0,21600,136.202,5274,119,240.409,119.172,46.3927,1.58898,3.93548,
1002,1,21600,136.202,5274,119,240.409,119.426,40.6929,0.527767,3.58065,
1002,2,21600,136.202,5274,119,240.409,119.151,38.1881,2.36573,2.90323,
1002,3,21600,136.202,5274,119,240.409,119.297,42.9451,1.76878,3.45161,
1002,4,21600,136.202,5274,119,240.409,119.118,38.4512,2.21466,3.51613,
1002,5,21600,136.202,5274,119,240.409,119.22,43.5275,4.31633,4.96774,
1002,6,21600,136.202,5274,119,240.409,119.351,51.6351,1.65468,5,
1002,7,21600,136.202,5274,119,240.409,119.082,41.1772,0.820725,3.96774,
1002,8,21600,136.202,5274,119,240.409,119.199,47.0138,0.667271,3.80645,
1002,9,21600,136.202,5274,119,240.409,119.327,29.3476,1.92783,3.29032,
100,2,21600,0.488717,5964,78,163.135,119.154,57.9316,0.155427,12.2903,
1003,0,21600,273.167,138,119,179.332,61.6345,63.0611,2.30406,6,
1003,1,21600,273.167,138,119,179.332,70.5174,49.6417,4.37406,4.12903,
1003,2,21600,273.167,138,119,179.332,71.0337,55.6422,1.42767,5.12903,
1003,3,21600,273.167,138,119,179.332,67.1323,46.2861,1.15001,3.32258,
1003,4,21600,273.167,138,119,179.332,70.2223,52.4118,1.62768,5.22581,
1003,5,21600,273.167,138,119,179.332,64.1443,49.7543,1.05769,3.6129,
1003,6,21600,273.167,138,119,179.332,70.4121,63.7685,1.6915,5.09677,
1003,7,21600,273.167,138,119,179.332,77.4873,41.5869,0.178588,2.74194,
1003,8,21600,273.167,138,119,179.332,75.4785,36.3582,2.10455,3.16129,
1003,9,21600,273.167,138,119,179.332,67.2139,56.692,0.886002,5.19355,
100,3,21600,0.488717,5964,78,163.135,119.268,56.9032,0.173378,13.1935,
1004,0,21600,19.1527,643,119,108.581,112.879,75.2638,0.174098,12.5161,
1004,1,21600,19.1527,643,119,108.581,111.844,72.9394,0.258404,11.9355,
1004,2,21600,19.1527,643,119,108.581,112.548,70.2326,0.16269,11.1935,
1004,3,21600,19.1527,643,119,108.581,112.933,60.4376,0.137187,11.1613,
1004,4,21600,19.1527,643,119,108.581,112.292,69.3116,0.64521,12.5806,
1004,5,21600,19.1527,643,119,108.581,112.042,71.8222,0.166957,12.3226,
1004,6,21600,19.1527,643,119,108.581,113.962,60.7148,0.265823,12,
1004,7,21600,19.1527,643,119,108.581,112.724,66.8827,0.132088,12.1613,
1004,8,21600,19.1527,643,119,108.581,111.648,73.0666,0.134765,12.5806,
1004,9,21600,19.1527,643,119,108.581,113.337,66.2487,0.206904,11.4194,
100,4,21600,0.488717,5964,78,163.135,119.206,57.2733,0.255843,12.2581,
1005,0,21600,0.122907,3334,119,257.997,117.385,94.9251,0.170672,13.3548,
1005,1,21600,0.122907,3334,119,257.997,117.465,87.494,0.705194,11.5806,
1005,2,21600,0.122907,3334,119,257.997,117.419,93.3486,0.32285,12.5161,
1005,3,21600,0.122907,3334,119,257.997,117.561,91.2175,0.555438,13.4516,
1005,4,21600,0.122907,3334,119,257.997,117.041,99.9014,0.294032,12.5161,
1005,5,21600,0.122907,3334,119,257.997,117.579,87.6983,0.15907,12.129,
1005,6,21600,0.122907,3334,119,257.997,117.388,93.4389,0.33117,11.6774,
1005,7,21600,0.122907,3334,119,257.997,117.386,97.3003,0.858731,13.1935,
1005,8,21600,0.122907,3334,119,257.997,117.445,92.6768,0.171592,13.129,
1005,9,21600,0.122907,3334,119,257.997,117.594,84.7323,0.360643,12.1613,
100,5,21600,0.488717,5964,78,163.135,119.199,59.3143,0.239704,12.8387,
1006,0,21600,14.825,171,119,165.805,79.7156,63.9756,3.36445,6.35484,
1006,1,21600,14.825,171,119,165.805,76.9902,54.2353,1.80909,4.67742,
1006,2,21600,14.825,171,119,165.805,85.1467,52.6104,3.27443,5.6129,
1006,3,21600,14.825,171,119,165.805,82.7745,57.645,0.930988,5.29032,
1006,4,21600.1,14.825,171,119,165.805,78.3992,64.3857,2.80013,5.54839,
1006,5,21600,14.825,171,119,165.805,87.1063,53.4017,0.816241,5.22581,
1006,6,21600,14.825,171,119,165.805,85.2687,62.6128,2.63305,5.87097,
1006,7,21600,14.825,171,119,165.805,78.0134,57.343,0.572561,5.54839,
1006,8,21600,14.825,171,119,165.805,80.1736,54.907,0.904628,5.41935,
1006,9,21600.1,14.825,171,119,165.805,76.9854,49.9685,2.24493,4.70968,
100,6,21600,0.488717,5964,78,163.135,119.243,66.3435,0.141198,12.871,
1007,0,21600,259.051,847,119,114.642,115.093,66.4449,0.340938,11.1613,
1007,1,21600,259.051,847,119,114.642,114.821,63.2391,0.471882,10.9355,
1007,2,21600,259.051,847,119,114.642,114.506,65.4938,1.15163,10.4516,
1007,3,21600,259.051,847,119,114.642,113.574,64.8334,0.154741,11.0968,
1007,4,21600,259.051,847,119,114.642,114.973,67.226,0.150948,10.9677,
1007,5,21600,259.051,847,119,114.642,114.495,65.3788,0.284574,11.2581,
1007,6,21600,259.051,847,119,114.642,115.198,56.8172,0.52436,10,
1007,7,21600,259.051,847,119,114.642,115.151,62.1922,0.427869,11,
1007,8,21600,259.051,847,119,114.642,113.911,71.3634,0.821015,9.83871,
1007,9,21600,259.051,847,119,114.642,113.373,69.1692,0.264875,10.129,
100,7,21600,0.488717,5964,78,163.135,119.231,56.233,0.417262,12.4516,
1008,0,21600,1.1324,6253,119,103.17,119.05,85.7859,0.100286,18.7742,
1008,1,21600,1.1324,6253,119,103.17,119.18,75.0954,0.0687028,18.9677,
1008,2,21600,1.1324,6253,119,103.17,119.145,85.2333,0.0481892,18.9677,
1008,3,21600,1.1324,6253,119,103.17,119.075,87.3721,0.044384,19.0645,
1008,4,21600,1.1324,6253,119,103.17,119.203,84.6616,0.0447398,19.129,
1008,5,21600,1.1324,6253,119,103.17,119.155,79.9284,0.107449,19.3871,
1008,6,21600,1.1324,6253,119,103.17,119.117,85.7078,0.0183109,18.4194,
1008,7,21600,1.1324,6253,119,103.17,119.113,89.466,0.0252519,18.7742,
1008,8,21600,1.1324,6253,119,103.17,119.224,77.4759,0.0388107,19.3226,
1008,9,21600,1.1324,6253,119,103.17,118.996,85.7808,0.0760695,18.871,
100,8,21600.1,0.488717,5964,78,163.135,119.303,56.7756,0.117254,12.6452,
1009,0,21600,1.35535,8274,119,155.101,119.357,72.9681,0.454482,12.0323,
1009,1,21600,1.35535,8274,119,155.101,119.387,68.079,0.231904,11.3871,
1009,2,21600,1.35535,8274,119,155.101,119.201,78.8461,0.150294,11.6452,
1009,3,21600,1.35535,8274,119,155.101,119.309,74.0427,0.615113,11.8065,
1009,4,21600,1.35535,8274,119,155.101,119.417,66.4414,0.523367,11.4194,
1009,5,21600,1.35535,8274,119,155.101,119.38,66.3808,0.399899,11.5484,
1009,6,21600,1.35535,8274,119,155.101,119.346,68.6821,0.230591,11.0645,
1009,7,21600,1.35535,8274,119,155.101,119.324,72.7355,0.461261,12.0323,
1009,8,21600,1.35535,8274,119,155.101,119.319,71.4314,0.3409,11.7742,
1009,9,21600,1.35535,8274,119,155.101,119.256,75.8568,0.704051,10.9032,
100,9,21600,0.488717,5964,78,163.135,119.251,60.2551,0.143594,13.129,
10,0,21600,0.598323,507,75,127.753,111.387,63.4686,0.0405034,15,
1010,0,21600,293.122,331,119,162.54,104.487,45.3786,1.33928,5.90323,
1010,1,21600,293.122,331,119,162.54,103.004,57.5567,0.610586,6.41935,
1010,2,21600.1,293.122,331,119,162.54,104.505,48.9638,0.451806,4.96774,
1010,3,21600,293.122,331,119,162.54,103.467,64.2144,0.779847,6.45161,
1010,4,21600,293.122,331,119,162.54,102.975,56.111,0.977212,6.48387,
1010,5,21600,293.122,331,119,162.54,108.182,43.2874,1.25251,6.41935,
1010,6,21600,293.122,331,119,162.54,106.222,48.5886,2.24542,6.06452,
1010,7,21600,293.122,331,119,162.54,103.845,55.4174,0.432806,6.74194,
1010,8,21600,293.122,331,119,162.54,103.376,55.8444,1.60826,6.25806,
1010,9,21600,293.122,331,119,162.54,108.283,45.0926,2.40474,6.45161,
101,0,21600,13.3159,8788,78,230.473,119.708,36.681,2.87997,5.06452,
1011,0,21600,64.7793,561,119,128.554,112.167,57.7181,0.273289,8.64516,
1011,1,21600,64.7793,561,119,128.554,109.89,66.6692,0.355971,9.09677,
1011,2,21600,64.7793,561,119,128.554,111.214,67.16,0.49741,9.48387,
1011,3,21600,64.7793,561,119,128.554,111.772,61.3398,0.854214,9.09677,
1011,4,21600,64.7793,561,119,128.554,111.411,74.538,0.517458,9.45161,
1011,5,21600,64.7793,561,119,128.554,111.481,59.9146,0.20247,8.77419,
1011,6,21600,64.7793,561,119,128.554,110.216,61.7157,2.64769,8.22581,
1011,7,21600,64.7793,561,119,128.554,112.045,53.3252,0.608251,7.96774,
1011,8,21600,64.7793,561,119,128.554,112.121,64.2176,0.561009,8.90323,
1011,9,21600,64.7793,561,119,128.554,113.149,51.22,0.791034,9,
101,1,21600.1,13.3159,8788,78,230.473,119.693,39.0751,1.65706,4.87097,
1012,0,21600,0.167948,136,119,319.121,60.9231,49.3651,1.16734,3.90323,
1012,1,21600,0.167948,136,119,319.121,56.4029,46.4017,3.95018,3.3871,
1012,2,21600.1,0.167948,136,119,319.121,52.8331,54.096,2.49783,3.87097,
1012,3,21600,0.167948,136,119,319.121,51.6512,53.7833,7.77297,3.83871,
1012,4,21600,0.167948,136,119,319.121,59.8455,52.3043,2.24499,4.3871,
1012,5,21600,0.167948,136,119,319.121,57.0153,45.8664,1.85582,3.77419,
1012,6,21600,0.167948,136,119,319.121,63.1779,43.5163,2.89612,3.45161,
